"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label"
"145","DP4",2024-04-20,"T1_early","0600",1,5,0.7925,4160,3980,4360,1200,8200,"DP4_20240420_0600"
"146","DP4",2024-04-20,"T1_early","0610",1,4,0.731,3350,1375,3575,2500,4100,"DP4_20240420_0610"
"147","DP4",2024-04-20,"T1_early","0720",6,53,0.320293353344768,3890.56603773585,1828.30188679245,3996.22641509434,1300,7000,"DP4_20240420_0720"
"148","DP4",2024-04-20,"T1_early","0840",1,11,0.3055,3936.36363636364,1518.18181818182,4127.27272727273,2900,5800,"DP4_20240420_0840"
"149","DP4",2024-04-20,"T1_early","0930",1,7,0.293666666666667,3071.42857142857,2971.42857142857,3942.85714285714,1200,9600,"DP4_20240420_0930"
"150","DP4",2024-04-20,"T1_early","1010",7,40,0.518548125,4340,1965,4440,800,7500,"DP4_20240420_1010"
"151","DP4",2024-04-20,"T1_early","1230",3,24,0.38642683531746,3708.33333333333,2300,3995.83333333333,800,6300,"DP4_20240420_1230"
"152","DP4",2024-04-20,"T1_early","1640",1,8,0.386428571428572,3437.5,2137.5,3837.5,1700,6700,"DP4_20240420_1640"
"153","DP4",2024-04-21,"T1_early","1010",5,40,0.342878819444444,3585,2057.5,3912.5,1200,6700,"DP4_20240421_1010"
"154","DP4",2024-04-21,"T1_early","1620",1,10,0.312333333333333,3800,2960,4290,1000,8600,"DP4_20240421_1620"
"155","DP4",2024-04-22,"T1_early","0600",1,3,1.484,3866.66666666667,5333.33333333333,4033.33333333333,1000,8200,"DP4_20240422_0600"
"156","DP4",2024-04-22,"T1_early","0610",1,15,0.287928571428571,3980,1266.66666666667,4020,3200,4800,"DP4_20240422_0610"
"157","DP4",2024-04-22,"T1_early","0620",1,4,1.06266666666667,3700,2550,4200,800,5800,"DP4_20240422_0620"
"158","DP4",2024-04-22,"T1_early","0650",1,3,0.4,4233.33333333333,3733.33333333333,4433.33333333333,1200,6700,"DP4_20240422_0650"
"159","DP4",2024-04-22,"T1_early","0750",7,48,0.405356828703704,3633.33333333333,1554.16666666667,3814.58333333333,2200,6800,"DP4_20240422_0750"
"160","DP4",2024-04-22,"T1_early","0920",5,44,0.4154678268701,3163.63636363636,1740.90909090909,3390.90909090909,1300,5300,"DP4_20240422_0920"
"161","DP4",2024-04-22,"T1_early","1010",1,4,0.761666666666667,4850,1875,4750,3900,6700,"DP4_20240422_1010"
"162","DP4",2024-04-23,"T1_early","0800",1,8,0.288142857142857,3425,2725,4062.5,1200,9400,"DP4_20240423_0800"
"163","DP4",2024-04-23,"T1_early","1540",15,162,0.326181885227256,2817.9012345679,1790.74074074074,3163.58024691358,600,8700,"DP4_20240423_1540"
"164","DP4",2024-04-24,"T1_early","0850",8,78,0.32762422022422,2910.25641025641,1402.5641025641,3205.1282051282,1500,4600,"DP4_20240424_0850"
"165","DP4",2024-04-24,"T1_early","0950",1,14,0.302692307692308,3857.14285714286,3071.42857142857,4142.85714285714,1000,7400,"DP4_20240424_0950"
"166","DP4",2024-04-24,"T1_early","1150",1,6,0.299,3783.33333333333,2416.66666666667,3883.33333333333,1300,6000,"DP4_20240424_1150"
"167","DP4",2024-04-24,"T1_early","1200",4,40,0.284110568181818,3682.5,1720,3862.5,2000,7000,"DP4_20240424_1200"
"168","DP4",2024-04-24,"T1_early","1400",1,10,0.374888888888889,3770,2160,3990,1500,5100,"DP4_20240424_1400"
"169","DP4",2024-04-24,"T1_early","1500",1,10,0.332777777777778,4420,1750,4460,2500,6300,"DP4_20240424_1500"
"170","DP4",2024-04-25,"T1_early","0730",1,3,1.0545,4366.66666666667,1466.66666666667,4433.33333333333,2700,6800,"DP4_20240425_0730"
"171","DP4",2024-04-26,"T1_early","0620",1,8,0.307714285714286,4650,1800,4562.5,2500,8000,"DP4_20240426_0620"
"172","DP4",2024-04-26,"T1_early","1350",9,86,0.280624972314507,3746.51162790698,3898.83720930233,4345.3488372093,1000,9400,"DP4_20240426_1350"
"173","DP4",2024-04-27,"T1_early","0650",1,10,0.410777777777778,3460,1890,4140,1800,7200,"DP4_20240427_0650"
"174","DP4",2024-04-27,"T1_early","0710",1,6,0.5568,5316.66666666667,1266.66666666667,4833.33333333333,3900,7400,"DP4_20240427_0710"
"175","DP4",2024-04-27,"T1_early","1000",11,90,0.422780822510822,4466.66666666667,1712.22222222222,4503.33333333333,1200,8200,"DP4_20240427_1000"
"176","DP4",2024-04-27,"T1_early","1020",2,28,0.305615384615385,4285.71428571429,1796.42857142857,4507.14285714286,1000,7400,"DP4_20240427_1020"
"177","DP4",2024-04-27,"T1_early","1210",3,33,0.362740710131619,3254.54545454545,1515.15151515152,3593.93939393939,1200,4800,"DP4_20240427_1210"
"178","DP4",2024-04-27,"T1_early","1300",3,27,0.488666666666667,3696.2962962963,2803.7037037037,3951.85185185185,1000,8200,"DP4_20240427_1300"
"179","DP4",2024-04-27,"T1_early","1320",1,4,0.888666666666667,3350,3350,4625,1200,9300,"DP4_20240427_1320"
"180","DP4",2024-04-27,"T1_early","1440",1,4,0.38,3725,1300,4025,3100,4600,"DP4_20240427_1440"
"181","DP4",2024-04-28,"T1_early","1810",1,14,0.312153846153846,3092.85714285714,2178.57142857143,3378.57142857143,2000,5100,"DP4_20240428_1810"
"182","DP4",2024-04-29,"T1_early","0550",2,21,0.380529220779221,4652.38095238095,2385.71428571429,4814.28571428571,1700,7500,"DP4_20240429_0550"
"183","DP4",2024-04-29,"T1_early","1040",9,56,0.320479166666667,4267.85714285714,1346.42857142857,4367.85714285714,2000,5300,"DP4_20240429_1040"
"184","DP4",2024-04-29,"T1_early","1120",24,203,0.39452897163045,5101.47783251232,2748.27586206897,4919.70443349754,800,8900,"DP4_20240429_1120"
"185","DP4",2024-04-30,"T1_early","0620",1,3,0.5645,4433.33333333333,2000,5066.66666666667,2700,5500,"DP4_20240430_0620"
"186","DP4",2024-04-30,"T1_early","0720",2,19,0.351728571428571,5121.05263157895,1794.73684210526,5152.63157894737,2900,6700,"DP4_20240430_0720"
"187","DP4",2024-04-30,"T1_early","1020",1,10,0.431,4890,1730,4870,2700,7000,"DP4_20240430_1020"
"188","DP4",2024-04-30,"T1_early","1220",6,67,0.380964043419267,4289.55223880597,2035.82089552239,4470.14925373134,2200,6800,"DP4_20240430_1220"
