"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label","base_time","car_driving","frog","insect","car_horn","bird","human_voice","human_knocking","rain","music","site","low_freq_strength","mid_high_freq_strength","low_mid_high_freq_strength","constant_strength","pulse_strength","structural_strength","hour","minute","time_decimal"
"66","BJS",2024-05-19,"T2_mid","1220",2,27,0.305805194805195,3996.2962962963,2192.59259259259,3862.96296296296,1000,7200,"BJS_20240519_1220","BJS_20240519_122000",60,0,60,0,13.092,2.752,0,0,0,"BJS",0.348622222222222,0.6091,0,0.666666666666667,0,0.0880222222222222,12,20,12.3333333333333
"67","BJS",2024-05-20,"T2_mid","1140",7,67,0.286123337856174,4843.28358208955,1694.02985074627,4583.58208955224,1000,8400,"BJS_20240520_1140","BJS_20240520_114000",60,0,60,0,1.447,0,0,60,0,"BJS",0.333333333333333,0.512058333333333,0.25,1,0,0.00803888888888888,11,40,11.6666666666667
"68","BJS",2024-05-21,"T2_mid","0930",1,11,0.2912,4590.90909090909,2218.18181818182,4900,2700,7400,"BJS_20240521_0930","BJS_20240521_093000",60,0,60,0,10.955,0,1.536,0,0,"BJS",0.333333333333333,0.591291666666667,0.0064,0.666666666666667,0.00853333333333333,0.0608611111111111,9,30,9.5
"69","BJS",2024-05-22,"T2_mid","1220",6,39,0.433487464387464,3215.38461538462,2761.53846153846,4071.79487179487,800,10100,"BJS_20240522_1220","BJS_20240522_122000",60,1.568,60,0.256,11.4,0,1.536,0,0,"BJS",0.333333333333333,0.595,0.014,0.666666666666667,0.0186666666666667,0.0633333333333333,12,20,12.3333333333333
"70","BJS",2024-05-22,"T2_mid","1340",4,29,0.428765188834154,3537.93103448276,2593.10344827586,3906.89655172414,800,8200,"BJS_20240522_1340","BJS_20240522_134000",60,0,60,0,32.396,0,0.384,0,0,"BJS",0.333333333333333,0.769966666666667,0.0016,0.666666666666667,0.00213333333333334,0.179977777777778,13,40,13.6666666666667
"71","BJS",2024-05-22,"T2_mid","1430",1,6,0.4106,4766.66666666667,1833.33333333333,4900,3400,6500,"BJS_20240522_1430","BJS_20240522_143000",60,0,60,0,10.838,0,0,0,0,"BJS",0.333333333333333,0.590316666666667,0,0.666666666666667,0,0.0602111111111111,14,30,14.5
"72","BJS",2024-05-22,"T2_mid","1550",4,27,0.405021164021164,3040.74074074074,1781.48148148148,3822.22222222222,1000,6700,"BJS_20240522_1550","BJS_20240522_155000",60,0,60,0,25.504,0,0.384,0,0,"BJS",0.333333333333333,0.712533333333333,0.0016,0.666666666666667,0.00213333333333334,0.141688888888889,15,50,15.8333333333333
"73","BJS",2024-05-22,"T2_mid","1730",2,16,0.330307291666667,3300,1206.25,3837.5,1200,4400,"BJS_20240522_1730","BJS_20240522_173000",60,0,60,0,13.351,0,0,0,0,"BJS",0.333333333333333,0.611258333333333,0,0.666666666666667,0,0.0741722222222223,17,30,17.5
"74","BJS",2024-05-24,"T2_mid","0710",1,9,0.420625,2933.33333333333,1722.22222222222,3088.88888888889,1200,4100,"BJS_20240524_0710","BJS_20240524_071000",60,0,60,0,23.165,0,0,0,0,"BJS",0.333333333333333,0.693041666666667,0,0.666666666666667,0,0.128694444444444,7,10,7.16666666666667
"75","BJS",2024-05-24,"T2_mid","0730",2,29,0.187977468652038,3603.44827586207,1317.24137931034,3631.03448275862,2700,4600,"BJS_20240524_0730","BJS_20240524_073000",60,0,60,0,19.82,0,0,0,0,"BJS",0.333333333333333,0.665166666666667,0,0.666666666666667,0,0.110111111111111,7,30,7.5
"76","BJS",2024-05-24,"T2_mid","1820",1,5,0.27525,2660,1760,3040,2000,4400,"BJS_20240524_1820","BJS_20240524_182000",60,0,60,0,26.012,0,0,22.176,0,"BJS",0.333333333333333,0.716766666666667,0.0924,0.789866666666667,0,0.144511111111111,18,20,18.3333333333333
"77","BJS",2024-05-25,"T2_mid","0550",1,13,0.313166666666667,3569.23076923077,1407.69230769231,3623.07692307692,2000,6500,"BJS_20240525_0550","BJS_20240525_055000",60,0,60,0,7.8,0,0,10,0,"BJS",0.333333333333333,0.565,0.0416666666666667,0.722222222222222,0,0.0433333333333333,5,50,5.83333333333333
"78","BJS",2024-05-25,"T2_mid","1040",1,8,0.408285714285714,2550,2300,3187.5,1000,5300,"BJS_20240525_1040","BJS_20240525_104000",60,0,60,0,16.964,1.344,0.319999999999999,0,0,"BJS",0.3408,0.641366666666667,0.00133333333333333,0.666666666666667,0.00177777777777777,0.101711111111111,10,40,10.6666666666667
"79","BJS",2024-05-28,"T2_mid","1300",17,97,0.506905731467845,3554.63917525773,1925.77319587629,3802.0618556701,1300,6800,"BJS_20240528_1300","BJS_20240528_130000",43.344,0,60,0,11.025,0,0.256,0,0,"BJS",0.2408,0.591875,0.00106666666666667,0.574133333333333,0.00142222222222222,0.06125,13,0,13
"80","BJS",2024-05-29,"T2_mid","0620",1,3,1.056,3666.66666666667,1400,3833.33333333333,2000,5500,"BJS_20240529_0620","BJS_20240529_062000",34.32,0,60,0,51.189,0,0,0,0,"BJS",0.190666666666667,0.926575,0,0.524,0,0.284383333333333,6,20,6.33333333333333
"81","BJS",2024-06-01,"T2_mid","1350",22,192,0.339620741078944,3936.45833333333,1868.22916666667,3916.14583333333,1000,6700,"BJS_20240601_1350","BJS_20240601_135000",60,0,60,0,1.341,0,0,0,0,"BJS",0.333333333333333,0.511175,0,0.666666666666667,0,0.00745,13,50,13.8333333333333
